u1	f1	u2	f2	u3	f3
18.0180	148.3365	18.0180	112.3830	18.0180	142.9000
18.0581	148.3274	18.0581	111.7908	18.0581	142.7732
18.0981	149.3804	18.0981	111.1162	18.0981	141.8820
18.1381	149.6636	18.1381	110.4131	18.1381	141.3362
18.1782	150.0714	18.1782	109.6355	18.1782	141.5720
18.2182	150.5225	18.2182	109.2000	18.2182	141.3074
18.2583	151.3882	18.2583	108.3094	18.2583	141.1356
18.2983	151.3649	18.2983	108.0959	18.2983	140.7745
18.3383	152.0604	18.3383	107.8694	18.3383	140.1102
18.3784	153.0306	18.3784	107.0392	18.3784	139.7650
18.4184	153.1965	18.4184	106.5023	18.4184	139.0740
18.4585	153.7942	18.4585	106.3342	18.4585	139.0318
18.4985	154.4636	18.4985	106.1684	18.4985	138.9712
